id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD000112,C02778,P00176,05/07/2025,5,4687.83,OK,CAS,CASH,L22,2025-11-18
CMD000113,C09040,P00795,Mar 30 2026,1,4182.17,KO,Tnja,CARD,L16,2025-07-02
CMD000114,C08305,P00530,06/09/2025,3,3623.26,KO,TNG,CARD,L35,2025-05-25
CMD000115,C07219,P00742,31/10/2024,1,4185.58,OK,CAS,CARD,L14,2025-10-27
CMD000116,C02255,P00962,07/02/2025,4,3459.38,DONE,tanger,CASH,L31,2025-08-04
CMD000117,C04661,P00044,28/12/2025,4,0.0,OK,tanger,CARD,L28,2026-01-19
CMD000118,C07761,P00641,21/06/2025,3,3808.6,DONE,tanger,CARD,L1,2025-06-22
CMD000119,C03730,P00244,31/10/2025,1,175.27,OK,TNG,CASH,L36,2025-11-06
CMD000120,C09350,P00165,Oct 28 2025,1,3660.54,OK,Tnja,CASH,L30,2025-07-24
CMD000121,C04734,P00330,2025-12-21,3,3260.99,KO,tanger,CARD,L37,2025-10-07
CMD000122,C05378,P00635,2024-06-14,5,1060.71,KO,Tnja,CARD,L41,2026-02-02
CMD000123,C03033,P00714,Jul 29 2025,5,4977.81,DONE,Rabat,CASH,L15,2025-10-09
CMD000124,C06915,P00124,02/11/2025,5,4229.81,DONE,CAS,CARD,L5,2025-08-30
CMD000125,C09405,P00864,15/04/2025,4,3123.16,DONE,TNG,CARD,L44,2025-09-08
CMD000126,C05817,P00466,12/07/2025,5,2179.21,KO,Rabat,CARD,L39,2026-02-06
CMD000127,C07903,P00219,2025-05-25,3,4557.27,DONE,Rabat,CASH,,2025-12-06
CMD000128,C07781,P00240,Oct 29 2025,4,1041.49,OK,Rabat,CASH,L50,2025-12-07
CMD000129,C09214,P00512,29/04/2026,1,3622.59,KO,Tnja,CARD,,2025-06-18
CMD000130,C00049,P00761,21/03/2025,5,1903.6,DONE,Tnja,CASH,L30,2025-05-22
CMD000131,C08420,P00817,2025-02-14,2,1167.49,KO,Rabat,CASH,L33,2025-10-12
CMD000132,C09640,P00672,Oct 28 2025,2,3901.07,KO,Tnja,CARD,L49,2025-07-27
CMD000133,C00522,P00449,21/08/2024,5,1154.91,DONE,Rabat,CASH,L44,2025-11-07
CMD000134,C05665,P00758,2025-11-16,4,3456.44,KO,TNG,CARD,L6,2026-04-15
CMD000135,C08867,P00760,2025-05-07,-4,2775.17,KO,CAS,CASH,L29,2025-10-15
CMD000136,C03925,P00262,Apr 20 2026,5,1649.36,OK,CAS,CARD,L47,2025-11-24
CMD000137,C06419,P00987,2026-02-18,3,4674.07,KO,TNG,CARD,,2025-12-28
CMD000138,C01655,P00381,Jul 30 2024,4,4463.0,KO,CAS,CARD,,2025-05-15
CMD000139,C05465,P00732,2026-01-26,5,0.0,DONE,Rabat,CASH,L3,2026-04-29
CMD000140,C00366,P00153,Oct 05 2024,5,2796.57,OK,tanger,CASH,L36,2025-11-19
CMD000141,C01472,P00485,2026-01-28,3,4602.32,OK,Tnja,CASH,L31,2026-03-17
CMD000142,C04915,P00335,Jan 15 2025,1,4193.54,OK,TNG,CASH,L22,2026-03-23
CMD000143,C06654,P00198,Apr 14 2025,3,526.91,OK,TNG,CARD,L33,2025-10-03
CMD000144,C04291,P00213,2026-04-06,4,367.07,KO,TNG,CARD,L1,2025-06-17
CMD000145,C07553,P00020,19/04/2026,5,1892.87,KO,CAS,CARD,L41,2025-09-09
CMD000146,C01056,P00316,2025-12-09,5,4129.07,KO,TNG,CARD,L18,2025-09-28
CMD000147,C00401,P00584,2026-01-14,5,4120.58,OK,Tnja,CASH,L48,2026-05-04
CMD000148,C09807,P00157,2025-07-04,3,4447.41,DONE,Tnja,CARD,L50,2026-05-11
CMD000149,C09549,P00106,Dec 27 2025,4,269.24,OK,CAS,CARD,L16,2025-05-12
CMD000150,C09434,P00820,Aug 14 2024,4,3691.13,OK,tanger,CARD,,2026-04-29
CMD000151,C03995,P00837,2024-10-16,2,3413.09,KO,TNG,CARD,L15,2025-10-22
CMD000152,C01820,P00711,03/06/2024,5,2499.03,DONE,TNG,CARD,L48,2026-03-29
CMD000153,C00435,P00437,24/04/2026,5,4559.56,OK,TNG,CASH,L42,2025-08-03
CMD000154,C06553,P00125,Feb 07 2026,1,2895.55,DONE,Rabat,CARD,,2025-05-19
CMD000155,C03885,P00233,Feb 26 2025,4,4749.23,DONE,Tnja,CASH,L14,2025-07-23
CMD000156,C08903,P00878,Jun 22 2024,3,2215.68,KO,TNG,CARD,L45,2025-07-06
CMD000157,C09412,P00259,Apr 21 2025,3,4986.91,OK,Tnja,CARD,L6,2025-12-22
CMD000158,C08784,P00666,2025-12-07,2,3088.47,OK,Tnja,CARD,L11,2026-02-05
CMD000159,C08571,P00441,Dec 07 2025,2,0.0,DONE,Tnja,CARD,L10,2025-06-04
CMD000160,C03276,P00463,Jun 02 2025,2,1335.78,DONE,TNG,CARD,L6,2025-09-14
CMD000161,C08543,P00796,09/05/2025,3,1777.54,KO,Rabat,CARD,L40,2026-01-14
CMD000162,C05114,P00219,25/07/2025,3,3513.32,KO,Tnja,CASH,,2025-12-31
CMD000163,C03554,P00180,Feb 28 2026,1,1676.52,DONE,TNG,CASH,L18,2025-12-22
CMD000164,C06046,P00326,2025-08-22,3,681.64,OK,Rabat,CARD,L17,2025-12-01
CMD000165,C07011,P00433,2024-08-15,1,0.0,OK,Tnja,CASH,L28,2025-10-14
CMD000166,C02046,P00265,Oct 13 2025,3,4180.45,DONE,Tnja,CARD,L34,2025-05-15
CMD000167,C03894,P00005,26/10/2025,2,1807.62,KO,CAS,CASH,L36,2026-02-27
CMD000168,C09731,P00513,2025-03-20,1,3242.7,DONE,TNG,CASH,L38,2025-07-23
CMD000169,C02362,P00200,2026-02-07,-1,3546.67,DONE,Tnja,CARD,L6,2025-08-09
CMD000170,C09506,P00011,14/12/2025,2,3914.88,OK,Tnja,CASH,,2025-11-11
CMD000171,C05916,P00857,2025-07-15,2,2851.01,KO,Rabat,CASH,L40,2025-10-08
CMD000172,C03801,P00182,2024-07-21,3,927.31,OK,Tnja,CASH,L42,2025-06-29
CMD000173,C01733,P00805,2025-06-07,1,3883.76,KO,tanger,CARD,L10,2026-02-21
CMD000174,C09593,P00378,12/07/2025,1,4464.91,DONE,TNG,CASH,L8,2025-11-01
CMD000175,C06278,P00985,Dec 13 2024,2,4314.56,OK,tanger,CARD,L19,2026-03-10
CMD000176,C01023,P00240,2025-03-21,1,638.9,KO,Tnja,CARD,L9,2025-10-02
CMD000177,C06980,P00518,2024-06-03,1,815.36,KO,Rabat,CASH,L15,2025-12-08
CMD000178,C01219,P00343,2026-02-17,4,3335.78,KO,TNG,CARD,L39,2026-02-22
CMD000179,C08137,P00052,2024-07-23,4,2949.48,OK,CAS,CASH,L6,2026-02-02
CMD000180,C03649,P00924,2024-12-10,1,1024.42,KO,Rabat,CASH,L31,2026-03-13
CMD000181,C06108,P00328,08/06/2024,-3,1758.2,DONE,Rabat,CARD,L8,2025-11-15
CMD000182,C05617,P00311,2024-12-13,2,376.71,OK,tanger,CASH,L45,2026-04-10
CMD000183,C02423,P00742,2026-05-09,3,3027.31,DONE,CAS,CARD,L22,2026-01-29
CMD000184,C08990,P00122,05/10/2024,2,3305.53,KO,TNG,CASH,L29,2026-04-19
CMD000185,C01918,P00845,Oct 28 2025,1,2877.43,OK,tanger,CARD,L11,2025-07-21
CMD000186,C09315,P00842,09/01/2026,3,1983.75,DONE,Tnja,CASH,L39,2025-11-21
CMD000187,C05336,P00066,2024-11-30,5,3304.24,KO,Rabat,CASH,L16,2025-07-16
CMD000188,C09870,P00730,2025-02-17,1,4501.31,KO,Rabat,CASH,,2026-03-25
CMD000189,C00094,P00426,2025-10-07,1,3080.63,DONE,Tnja,CARD,L6,2026-02-23
CMD000190,C06513,P00481,2024-07-18,2,4959.84,DONE,TNG,CARD,L19,2025-05-14
CMD000191,C09239,P00838,19/05/2024,2,0.0,DONE,Rabat,CASH,L28,2025-08-28
CMD000192,C09424,P00107,16/02/2026,5,1940.0,KO,Rabat,CARD,L2,2026-03-05
CMD000193,C05376,P00220,2025-01-18,5,4210.47,DONE,CAS,CARD,L23,2026-04-24
CMD000194,C07120,P00394,2025-08-22,2,516.96,DONE,Tnja,CARD,L16,2025-10-26
CMD000195,C06722,P00529,10/01/2025,4,619.38,DONE,Rabat,CASH,,2025-10-23
CMD000196,C03904,P00180,2026-01-12,5,4966.95,OK,tanger,CARD,,2026-05-03
CMD000197,C02831,P00334,Sep 17 2025,5,3719.05,KO,Rabat,CASH,L48,2026-03-11
CMD000198,C05940,P00871,2024-07-22,1,2255.39,OK,Rabat,CASH,L33,2026-03-11
CMD000199,C00318,P00062,2025-09-07,3,2230.21,KO,TNG,CARD,L27,2026-01-31
CMD000200,C07216,P00581,Aug 04 2024,3,4385.11,DONE,Tnja,CASH,L5,2025-06-10
CMD000201,C04335,P00028,09/05/2026,-5,4240.79,DONE,Rabat,CASH,L42,2026-05-09
CMD000202,C01794,P00431,2024-12-14,4,3743.34,KO,TNG,CARD,L48,2025-11-27
CMD000203,C07495,P00922,18/08/2024,5,3989.43,KO,CAS,CARD,L45,2025-05-31
CMD000204,C03942,P00106,14/08/2025,3,990.51,KO,CAS,CARD,,2025-08-23
CMD000205,C00956,P00814,2024-11-22,5,4990.04,KO,CAS,CASH,L21,2025-05-24
CMD000206,C09319,P00142,24/03/2025,5,2606.72,OK,CAS,CASH,L27,2026-01-15
CMD000207,C00020,P00086,Dec 02 2024,5,1854.81,KO,CAS,CASH,L22,2026-02-02
CMD000208,C05496,P00671,May 21 2025,2,4852.34,KO,TNG,CARD,L1,2025-08-30
CMD000209,C02172,P00659,28/03/2026,5,1091.04,DONE,tanger,CASH,L44,2025-06-05
CMD000210,C05060,P00017,04/07/2024,3,4359.77,KO,tanger,CARD,L8,2025-07-06
CMD000211,C02911,P00973,2025-04-17,3,1177.61,DONE,Rabat,CARD,L44,2025-06-05
CMD000212,C03895,P00387,08/08/2024,5,4674.79,KO,Rabat,CASH,L10,2025-05-16
CMD000213,C01034,P00387,2024-11-25,5,1882.83,KO,TNG,CASH,L14,2025-06-08
CMD000214,C00759,P00477,Jul 05 2025,4,2805.2,OK,tanger,CASH,L6,2025-06-04
CMD000215,C01435,P00919,2025-07-05,3,1388.0,OK,Tnja,CASH,L35,2026-01-16
CMD000216,C09421,P00730,2025-11-16,2,4288.91,OK,Rabat,CARD,L45,2025-08-28
CMD000217,C06173,P00154,2024-07-13,4,3710.67,KO,TNG,CARD,L7,2025-07-29
CMD000218,C06009,P00706,18/07/2025,1,311.7,KO,Tnja,CASH,L29,2026-04-11
CMD000219,C00775,P00957,2024-08-14,5,946.33,OK,TNG,CARD,L9,2026-04-20
CMD000220,C03558,P00677,24/06/2024,4,4957.54,DONE,TNG,CARD,L39,2026-04-01
CMD000221,C02649,P00452,2025-01-25,2,423.7,OK,Rabat,CASH,L27,2025-11-22
CMD000222,C01910,P00745,2025-02-12,3,3208.43,OK,CAS,CASH,L5,2026-03-14
CMD000223,C00587,P00049,15/08/2025,1,3437.05,KO,TNG,CASH,L22,2026-02-19
CMD000224,C03280,P00561,2024-10-12,5,3579.33,DONE,Tnja,CASH,L41,2026-05-10
CMD000225,C09399,P00927,16/06/2024,4,3916.39,OK,Rabat,CASH,L14,2026-01-24
CMD000226,C08056,P00791,06/12/2024,3,2767.53,KO,Rabat,CARD,L31,2026-01-24
CMD000227,C09078,P00580,2026-01-03,2,4816.73,OK,Tnja,CARD,L5,2025-10-13
CMD000228,C09534,P00720,28/03/2026,3,1258.64,DONE,tanger,CASH,L47,2026-03-15
CMD000229,C02375,P00167,2024-08-13,4,4747.78,OK,Tnja,CARD,L19,2025-11-14
CMD000230,C06472,P00796,13/10/2025,3,2673.76,DONE,Tnja,CARD,L6,2026-04-24
CMD000231,C04206,P00135,Mar 25 2026,3,3141.14,KO,tanger,CARD,,2025-06-28
CMD000232,C07220,P00412,25/07/2025,5,1248.1,KO,CAS,CASH,L9,2025-06-10
CMD000233,C02413,P00917,08/07/2024,5,1393.27,KO,Rabat,CASH,L29,2025-05-19
CMD000234,C03567,P00061,14/09/2025,1,3990.46,DONE,CAS,CASH,L40,2025-08-23
CMD000235,C05630,P00991,Oct 28 2024,4,888.41,OK,Rabat,CASH,L6,2025-06-05
CMD000236,C09247,P00842,2024-11-21,5,2790.13,OK,Rabat,CASH,L47,2026-04-30
CMD000237,C05566,P00011,2024-08-12,5,2707.88,KO,tanger,CARD,L23,2025-12-26
CMD000238,C05466,P00404,21/01/2025,1,752.25,DONE,CAS,CASH,L46,2026-04-17
CMD000239,C08280,P00848,2025-10-13,4,968.04,OK,Tnja,CARD,L27,2025-10-10
CMD000240,C07411,P00351,2025-08-28,1,4309.57,OK,tanger,CASH,L25,2026-01-18
CMD000241,C01462,P00128,Jun 22 2025,3,1491.2,DONE,TNG,CASH,L40,2026-03-05
CMD000242,C00879,P00982,2026-01-04,5,590.65,KO,Rabat,CASH,,2025-08-13
CMD000243,C03036,P00155,2024-07-30,2,2872.81,DONE,tanger,CASH,L20,2025-09-12
CMD000244,C06616,P00891,2024-08-10,4,3934.61,DONE,TNG,CASH,L25,2026-02-20
CMD000245,C07878,P00499,2025-05-29,1,0.0,OK,Tnja,CARD,L27,2025-12-20
CMD000246,C01486,P00222,15/04/2026,5,189.29,KO,Tnja,CASH,,2026-04-11
CMD000247,C04234,P00398,25/12/2025,2,4979.78,KO,Rabat,CASH,L28,2025-12-11
CMD000248,C04388,P00527,2025-06-13,4,212.07,OK,TNG,CASH,L47,2025-12-08
CMD000249,C00308,P00911,17/08/2025,3,3797.72,KO,Tnja,CARD,L11,2026-04-21
CMD000250,C00013,P00157,11/01/2025,5,4408.21,KO,Rabat,CARD,L1,2026-03-22
CMD000251,C09183,P00514,2025-02-07,2,363.53,KO,Rabat,CASH,L38,2026-04-06
CMD000252,C06657,P00897,03/10/2025,5,2839.33,KO,Rabat,CASH,L26,2026-02-08
CMD000253,C03205,P00032,2025-12-07,2,1496.97,KO,TNG,CASH,L28,2025-12-07
CMD000254,C03826,P00668,04/09/2025,3,3850.3,KO,tanger,CARD,L32,2026-02-19
CMD000255,C05726,P00054,2025-11-06,1,4897.83,OK,Rabat,CARD,L1,2025-12-12
CMD000256,C09190,P00524,2024-06-11,5,3050.3,OK,tanger,CARD,L38,2025-08-10
CMD000257,C04345,P00174,11/02/2026,3,221.17,KO,Rabat,CARD,L41,2026-04-06
CMD000258,C00103,P00696,08/05/2025,1,2547.23,DONE,Rabat,CARD,L37,2025-09-15
CMD000259,C02631,P00137,2025-01-11,1,4711.88,DONE,tanger,CASH,L50,2025-11-26
CMD000260,C07826,P00867,2025-03-11,4,0.0,KO,TNG,CASH,,2025-09-22
CMD000261,C04993,P00104,2024-10-06,5,3894.91,KO,Rabat,CASH,L33,2026-01-08
CMD000262,C07101,P00344,2024-10-15,4,4224.51,OK,CAS,CARD,L48,2025-07-31
CMD000263,C01660,P00386,2025-07-17,5,2153.88,KO,TNG,CARD,,2025-07-19
CMD000264,C02265,P00318,May 03 2025,4,1908.36,OK,CAS,CASH,L32,2025-11-22
CMD000265,C03342,P00177,2025-09-06,3,1315.3,KO,tanger,CASH,L6,2025-12-04
CMD000266,C09365,P00682,05/05/2025,5,3498.77,OK,Tnja,CASH,,2026-01-05
CMD000267,C05005,P00478,09/09/2024,2,500.16,KO,Rabat,CASH,L44,2025-12-28
CMD000268,C08202,P00057,2025-05-22,5,1443.05,OK,tanger,CASH,L45,2025-10-24
CMD000269,C08160,P00044,Feb 04 2026,4,0.0,DONE,TNG,CARD,L24,2025-06-17
CMD000270,C05072,P00695,2026-01-07,4,901.56,KO,tanger,CASH,L7,2025-09-04
CMD000271,C00024,P00495,2026-01-17,3,2238.23,DONE,TNG,CARD,L49,2025-08-12
CMD000272,C06721,P00964,2026-01-19,5,4884.12,DONE,TNG,CASH,L20,2026-03-01
CMD000273,C00766,P00562,Dec 10 2025,2,4735.35,OK,Rabat,CASH,L33,2025-12-07
CMD000274,C04562,P00001,2024-07-16,5,4786.24,OK,CAS,CASH,L9,2025-07-27
CMD000275,C04805,P00827,2024-11-20,3,1550.78,KO,Rabat,CASH,L30,2025-10-03
CMD000276,C00293,P00856,2025-10-04,4,917.02,KO,tanger,CASH,L34,2025-07-08
CMD000277,C08787,P00008,29/03/2026,-1,3218.78,KO,CAS,CASH,L28,2025-10-01
CMD000278,C01981,P00130,2024-05-22,1,831.25,DONE,Rabat,CASH,L2,2025-09-23
